dataset,model,role,tau,bucket,flag,n_kcs,n_events,mean_y,mean_p,n_advance,n_remediate,FM,Miss,UR,acc_at_tau,E_FM_calibrated,excess_FM
assist2012,cl4kt,secondary,0.7,sparse,L,38,444,0.5563063063063063,0.5670194645959733,200,244,0.24,0.2436548223350254,0.38461538461538464,0.6779279279279279,0.11590934246778488,0.12409065753221511
assist2012,cl4kt,secondary,0.7,very_sparse,I,7,11,0.45454545454545453,0.6653173767368902,6,5,0.16666666666666666,0.16666666666666666,0.0,0.9090909090909091,0.06956507762273152,0.09710158904393514
assist2012,cl4kt,secondary,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,cl4kt,secondary,0.8,all,R,260,534150,0.697790882710849,0.7020075933719684,190574,343576,0.1408114433238532,0.1662381911104228,0.5606975652290562,0.5585116540297669,0.12937638230153997,0.011435061022313231
assist2012,cl4kt,secondary,0.8,dense,R,147,528018,0.6995878928369866,0.7039861395287434,189058,338960,0.14078748320621184,0.1678003820379138,0.5602512215920626,0.5576457620762929,0.12967847576144284,0.011109007444769003
assist2012,cl4kt,secondary,0.8,medium,R,68,5677,0.5421877752333979,0.5286114927821264,1351,4326,0.13619541080680977,0.07079646017699115,0.6208576998050682,0.6309670600669368,0.09277974350376539,0.043415667303044386
assist2012,cl4kt,secondary,0.8,sparse,L,38,444,0.5563063063063063,0.5670194645959733,160,284,0.20625,0.16751269035532995,0.48582995951417,0.6554054054054054,0.08439829871058464,0.12185170128941535
assist2012,cl4kt,secondary,0.8,very_sparse,I,7,11,0.45454545454545453,0.6653173767368902,5,6,0.2,0.16666666666666666,0.2,0.8181818181818182,0.03444979190826416,0.16555020809173585
assist2012,cl4kt,secondary,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_full_log,ablation,0.5,all,R,260,534150,0.697790882710849,0.7068694537038861,463498,70652,0.25054908543294685,0.7193991017500387,0.06802870749211885,0.7351212206309089,0.24047676127411322,0.010072324158833634
assist2012,gkt_full_log,ablation,0.5,dense,R,147,528018,0.6995878928369866,0.7088511496661954,459990,68028,0.2504380530011522,0.726243987315837,0.0666062074473125,0.7352306171380522,0.24035065476421522,0.010087398236936967
assist2012,gkt_full_log,ablation,0.5,medium,R,68,5677,0.5421877752333979,0.5323619873157784,3210,2467,0.2626168224299065,0.32435552135436707,0.2309941520467836,0.7262638717632552,0.2577221069194817,0.0048947155104248075
assist2012,gkt_full_log,ablation,0.5,sparse,L,38,444,0.5563063063063063,0.5848424114907781,292,152,0.2945205479452055,0.4365482233502538,0.1659919028340081,0.713963963963964,0.2500151024289327,0.04450544551627278
assist2012,gkt_full_log,ablation,0.5,very_sparse,I,7,11,0.45454545454545453,0.5693926174532283,6,5,0.16666666666666666,0.16666666666666666,0.0,0.9090909090909091,0.2179731527964274,-0.05130648612976074
assist2012,gkt_full_log,ablation,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_full_log,ablation,0.6,all,R,260,534150,0.697790882710849,0.7068694537038861,403659,130491,0.2211024651995868,0.5528883382375717,0.15645851499094507,0.7237367780585978,0.20922163827207613,0.011880826927510663
assist2012,gkt_full_log,ablation,0.6,dense,R,147,528018,0.6995878928369866,0.7088511496661954,400867,127151,0.22107082897818978,0.5586831670060458,0.15470702093964456,0.7239336537769546,0.20924277578456865,0.011828053193621124
assist2012,gkt_full_log,ablation,0.6,medium,R,68,5677,0.5421877752333979,0.5323619873157784,2542,3135,0.22383949645948073,0.21893035782993459,0.3589993502274204,0.7051259468028889,0.2059369218527661,0.017902574606714627
assist2012,gkt_full_log,ablation,0.6,sparse,L,38,444,0.5563063063063063,0.5848424114907781,245,199,0.24897959183673468,0.3096446700507614,0.2550607287449393,0.7207207207207207,0.20958383132000358,0.039395760516731104
assist2012,gkt_full_log,ablation,0.6,very_sparse,I,7,11,0.45454545454545453,0.5693926174532283,5,6,0.0,0.0,0.0,1.0,0.1667577624320984,-0.1667577624320984
assist2012,gkt_full_log,ablation,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_full_log,ablation,0.7,all,R,260,534150,0.697790882710849,0.7068694537038861,321130,213020,0.18477563603525052,0.3675824686386867,0.29762425380642565,0.681233735841992,0.1739541879745384,0.010821448060712113
assist2012,gkt_full_log,ablation,0.7,dense,R,147,528018,0.6995878928369866,0.7088511496661954,319015,209003,0.1848282996097362,0.37171784671831953,0.2960056308287876,0.6812495028578571,0.17404643873352804,0.010781860876208166
assist2012,gkt_full_log,ablation,0.7,medium,R,68,5677,0.5421877752333979,0.5323619873157784,1914,3763,0.17711598746081506,0.13043478260869565,0.48830409356725146,0.6755328518583759,0.1585173646733554,0.018598622787459662
assist2012,gkt_full_log,ablation,0.7,sparse,L,38,444,0.5563063063063063,0.5848424114907781,196,248,0.17857142857142858,0.17766497461928935,0.3481781376518219,0.7274774774774775,0.1747331984189092,0.003838230152519384
assist2012,gkt_full_log,ablation,0.7,very_sparse,I,7,11,0.45454545454545453,0.5693926174532283,5,6,0.0,0.0,0.0,1.0,0.1667577624320984,-0.1667577624320984
assist2012,gkt_full_log,ablation,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,gkt_full_log,ablation,0.8,all,R,260,534150,0.697790882710849,0.7068694537038861,199181,334969,0.1384268579834422,0.17080377884466472,0.5395828023341606,0.571865580829355,0.1292122291259138,0.009214628857528412
assist2012,gkt_full_log,ablation,0.8,dense,R,147,528018,0.6995878928369866,0.7088511496661954,197830,330188,0.1385229742708386,0.17276183151245406,0.5386347947319265,0.5712778731028109,0.12934256276376677,0.009180411507071828
assist2012,gkt_full_log,ablation,0.8,medium,R,68,5677,0.5421877752333979,0.5323619873157784,1229,4448,0.12123677786818551,0.05732974220854175,0.6491228070175439,0.6218072925841114,0.10849128077920614,0.012745497088979374
assist2012,gkt_full_log,ablation,0.8,sparse,L,38,444,0.5563063063063063,0.5848424114907781,118,326,0.16101694915254236,0.09644670050761421,0.5991902834008097,0.6238738738738738,0.12574209045555632,0.035274858696986044
assist2012,gkt_full_log,ablation,0.8,very_sparse,I,7,11,0.45454545454545453,0.5693926174532283,4,7,0.0,0.0,0.2,0.9090909090909091,0.1521168053150177,-0.1521168053150177
assist2012,gkt_full_log,ablation,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
junyi,dkt,primary,0.5,all,R,1326,3269022,0.7043981349773725,0.7053755114260728,2657100,611922,0.23076700161830568,0.6345364777420527,0.11237451106161352,0.7332734377437655,0.21018274817447086,0.020584253443834827
junyi,dkt,primary,0.5,dense,R,1293,3264405,0.7045887382233516,0.7055334897800946,2654307,610098,0.23062441533703523,0.6347830956237518,0.11212910255066927,0.7334730218830078,0.21023921137745183,0.020385203959583403
junyi,dkt,primary,0.5,medium,R,33,4617,0.569633961446827,0.5936784508324113,2793,1824,0.36627282491944146,0.5148465022647207,0.3269961977186312,0.5921594108728612,0.1565233586596794,0.20974946625976207
junyi,dkt,primary,0.5,sparse,I,0,0,,,0,0,,,,,,
junyi,dkt,primary,0.5,very_sparse,I,0,0,,,0,0,,,,,,
junyi,dkt,primary,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
junyi,dkt,primary,0.6,all,R,1326,3269022,0.7043981349773725,0.7053755114260728,2324210,944812,0.20439590226356483,0.49161207000928253,0.19696155761970874,0.7159392013880604,0.1758239593441685,0.028571942919396326
