AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,kc_id,dataset,model,level,seed
0.6586244594235462,0.7879374294468634,0.7660755061247743,0.4212496554031304,0.1733674824595574,0.17745127217725612,0.0511342375909454,0.0018261310907422706,6201,139,xes3g5m,dkt,t100,42
0.588196338233278,0.7800314053912588,0.6182308834704973,0.4124788085529527,0.14761047873960623,0.1701387675052634,0.05268644172514025,0.0015354689094461678,7642,14,xes3g5m,dkt,t100,42
0.507738533930495,0.9717707442258341,0.2149480604568065,0.2020186265409041,0.05212561201767858,0.04081152546947329,0.0159270700866814,0.0009761870497905303,1169,143,xes3g5m,dkt,t100,42
0.7575325405752853,0.9102333931777379,0.6929871163605533,0.2947787602288572,0.08665135439923605,0.08689451748206206,0.012692419539522956,0.005221486149090289,557,159,xes3g5m,dkt,t100,42
0.518002216341628,0.6557881773399015,1.068424817097383,0.5259246236032653,0.2371528675550884,0.27659670971223627,0.07296628996323568,0.001429989589867088,1624,0,xes3g5m,dkt,t50,42
0.5791307169388467,0.6566265060240963,0.9254025553118221,0.5112597674845256,0.23342652211747,0.2613865498483312,0.08436253529598617,0.003137456624806067,1660,1,xes3g5m,dkt,t50,42
0.6775567368857742,0.6984937134320927,0.9077352900621866,0.48600456920010665,0.2051923105981741,0.23620044128338127,0.06047429331425753,0.015137906520646883,8033,10,xes3g5m,dkt,t50,42
0.49880047357926227,0.6233552631578947,1.3624867621880152,0.5578426571443622,0.2929036632965443,0.31118843012988245,0.1413754775023148,0.0031739565540749464,608,100,xes3g5m,dkt,t50,42
0.43859342897143583,0.6271018793273986,1.152770022434665,0.5402730245020553,0.25918753779528736,0.2918949410045984,0.09284603243056279,0.003765034056375859,2022,101,xes3g5m,dkt,t50,42
0.7141106800966727,0.8297344616282463,0.5457601728536108,0.3727499484821466,0.09972286061591003,0.13894252409344293,0.011666231222356018,0.019693296651932646,6854,102,xes3g5m,dkt,t50,42
0.536303071364047,0.7443762781186094,1.1294218498930404,0.4720595534162508,0.20441166167899755,0.2228402219715501,0.04855199773019801,0.011369794557627584,489,103,xes3g5m,dkt,t50,42
0.4775846517441565,0.5231413375579947,1.548748422133446,0.6224377947585786,0.4027979204172135,0.38742880834392246,0.24421381809882733,0.0005900385256529732,8837,104,xes3g5m,dkt,t50,42
0.6950149764655542,0.6454948301329394,0.8107153267635349,0.5069745489298073,0.22824317655812243,0.2570231932625816,0.0958398047983421,0.02151549601168336,677,105,xes3g5m,dkt,t50,42
0.44214535895023,0.6824423737126042,0.8357672775798711,0.4818458264573299,0.2627233171256905,0.23217540047434726,0.14835802444563953,0.00048444200954148356,8156,106,xes3g5m,dkt,t50,42
0.5488971361344921,0.4737394957983193,2.038793998559019,0.6701629956938072,0.44356459517679725,0.4491184407972979,0.25925543913733,0.004547209096706381,952,107,xes3g5m,dkt,t50,42
0.5680570898544481,0.7722160299929071,0.6315789163813779,0.4228693785912018,0.14173521916617346,0.17881851135010918,0.03582035250302,0.0021487493538233015,9869,108,xes3g5m,dkt,t50,42
0.5830648263078735,0.7683367185736854,1.037651943787131,0.4477835017839524,0.18212754663824132,0.20051006446989889,0.042346916591151716,0.00130917892705189,8862,109,xes3g5m,dkt,t50,42
0.3999151912458364,0.8100257069408741,1.0906607845976029,0.41575541728562315,0.15683249860863113,0.17285256700234264,0.031078084559189527,0.0014140210563969055,3890,11,xes3g5m,dkt,t50,42
0.538938938938939,0.8301886792452831,0.6586644868387815,0.38338613019054346,0.15371663520499218,0.14698492482248032,0.04021511508193173,0.0037552045443992148,212,110,xes3g5m,dkt,t50,42
0.5776934029425724,0.8263888888888888,0.7223048798806725,0.3991584161295308,0.14866228962394717,0.15932744116703568,0.039118307069243505,0.0066574968595181855,288,111,xes3g5m,dkt,t50,42
0.5810682155229558,0.7258432665483134,0.7519455152506734,0.4623335747271002,0.1691961643084574,0.21375233431993912,0.041777217840037136,0.0032231834378948646,3943,112,xes3g5m,dkt,t50,42
