AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,kc_id,dataset,model,level,seed
0.6454719024568826,0.6613876319758673,0.6647434838787214,0.4757233253352514,0.10181289169302443,0.22631268226802947,0.016838772448014416,0.014294201858227338,1326,878,448,11,assist2012,dkt,full,2025
0.5315384615384615,0.8821428571428571,0.34556610182864694,0.30972869061634056,0.09162858426570893,0.0959318617909128,0.03411659473312937,0.004609462455868422,280,260,20,110,assist2012,dkt,full,2025
0.6365935942619285,0.6335373317013464,0.6827064535763518,0.48534261720453853,0.10939646204796732,0.23555745607495124,0.01611039202821423,0.01583923206680794,4085,2528,1557,12,assist2012,dkt,full,2025
0.6422330102307745,0.6624359287283378,0.6455811698350846,0.4690592433276656,0.0837119826455963,0.22001657375112216,0.01197682457315809,0.01346748427538515,4097,2739,1358,13,assist2012,dkt,full,2025
0.6376512651265126,0.7734375,0.6517182167272031,0.41370642981607086,0.12987452992820178,0.17115301007115957,0.025388767283235775,0.020806326079963692,256,202,54,14,assist2012,dkt,full,2025
0.6886856514152605,0.7725669957686883,0.5123561616691766,0.40557677235675094,0.06490356582466497,0.16449251827531977,0.00675104681265448,0.015570386210191368,2836,2202,634,15,assist2012,dkt,full,2025
0.6809091915836102,0.7087837837837838,0.6273477063192532,0.44964952380221573,0.09675877790747062,0.20218469425555935,0.014259640044765255,0.018051043801246787,1480,1050,430,16,assist2012,dkt,full,2025
0.6812535668426309,0.6388059701492538,0.6856574446382796,0.4860035562086434,0.10741062506454747,0.23619945664744801,0.017314235205473632,0.0320647990627017,670,344,326,166,assist2012,dkt,full,2025
0.6337978180767492,0.5906921241050119,0.7080116115504411,0.49952659280550815,0.10991130801135018,0.24952681691987993,0.018064215240278913,0.016973611612915253,3352,1564,1788,17,assist2012,dkt,full,2025
0.5855107904387478,0.7044140830267998,0.6380594020657431,0.45975911834455685,0.10801775736197892,0.21137844690096422,0.016458758907792956,0.005056733210215977,3806,2753,1053,18,assist2012,dkt,full,2025
0.5455771116402858,0.5798319327731093,0.7518311873271907,0.5152780135979567,0.15479002124956012,0.265511431297456,0.052740753141897696,0.011269282027970897,357,236,121,181,assist2012,dkt,full,2025
0.45411789297658867,0.5533333333333333,0.8435066858772893,0.5444391905038254,0.22251660143335658,0.29641403215646067,0.09707660974900788,0.015185680307458895,150,104,46,192,assist2012,dkt,full,2025
0.5862448620082208,0.5404255319148936,0.8548148963495875,0.5380668345296181,0.20668067498568526,0.28951591842072344,0.06506686292529792,0.021823715810869036,235,104,131,203,assist2012,dkt,full,2025
