dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,irt_1pl,2027,4,sparse,40,376,0.5,0.6728723404255319,0.6333718924269426,0.46973367472121225,0.023120796943328692,0.22064972516709364,0.220115153915799,0.0005345712512946374,0.0
assist2012,irt_1pl,2027,4,very_sparse,6,21,0.5,0.5238095238095238,0.75683906193551,0.5282805157814499,0.17218361355933676,0.27908030335431466,0.2494331065759637,0.029647196778351016,0.0
assist2012,dkt,2027,4,dense,146,509574,0.6947422357876214,0.7164710130422667,0.5864938650743082,0.441062031846646,0.06342032828221159,0.19453571593669175,0.21044914748210086,0.00599951454554845,0.021684383759285795
assist2012,dkt,2027,4,medium,68,5918,0.7541017525980644,0.6835079418722542,0.9075049597497675,0.49122889962831434,0.19162218398734165,0.24130583183004453,0.24874081753321073,0.03950093141137702,0.04624253952883861
assist2012,dkt,2027,4,sparse,40,376,0.7193354542241074,0.7021276595744681,1.2429833691309737,0.49710827607768066,0.232980408268132,0.24711663814492357,0.220115153915799,0.06745368418760565,0.03978793907608974
assist2012,dkt,2027,4,very_sparse,6,21,0.8727272727272728,0.7619047619047619,0.7105720471594655,0.45075358620830314,0.20560186604048097,0.20317879547964615,0.2494331065759637,0.09796416299996784,0.1414965986394558
assist2012,simplekt,2027,4,dense,146,509574,0.6840217180443156,0.7024239855251642,0.7077332310246898,0.4581071962879418,0.10537336446963651,0.20986220329079883,0.21044914748210086,0.018362030304097596,0.018874817660599404
assist2012,simplekt,2027,4,medium,68,5918,0.7602605657916743,0.6977019263264617,0.8188380928581733,0.4722333557937909,0.1493780405872611,0.22300434232426508,0.24874081753321073,0.025573051468770668,0.05047008029462587
assist2012,simplekt,2027,4,sparse,40,376,0.6922780294996626,0.6914893617021277,1.214460607975966,0.5125943516954103,0.25119882984628766,0.262752969390038,0.220115153915799,0.07331245780678651,0.028559636195058736
assist2012,simplekt,2027,4,very_sparse,6,21,0.7636363636363636,0.7142857142857143,1.111618015009982,0.5179193749654074,0.2748916546978372,0.2682404789645583,0.2494331065759637,0.09985864623839866,0.08204493918779633
junyi,irt_1pl,42,0,dense,1293,3264405,0.5,0.7045887382233516,0.606933669118022,0.45623091916975667,0.001789808454586539,0.20814665160648102,0.20814344819217692,3.2034143041094548e-06,0.0
junyi,irt_1pl,42,0,medium,33,4617,0.5,0.569633961446827,0.7230841063599782,0.512722166676461,0.13316496832193803,0.2628840202014046,0.24515111141322182,0.017732908788182757,0.0
junyi,dkt,42,0,dense,1293,3264405,0.7328013668335287,0.7334730218830078,0.5435782527893678,0.42505820806897876,0.04051606547312916,0.18067448024681124,0.20814344819217692,0.0024013119878846553,0.029639907365344255
junyi,dkt,42,0,medium,33,4617,0.6195222367441603,0.5921594108728612,0.9972330931311365,0.5458901586437721,0.23543743276469353,0.29799606530412265,0.24515111141322182,0.06429645718726228,0.01101994687169967
junyi,simplekt,42,0,dense,1293,3264405,0.7260835732525311,0.7289392707093636,0.595750185668601,0.43198201775166933,0.07510298705163507,0.18660846366080358,0.20814344819217692,0.007261290641947085,0.028601325689754244
junyi,simplekt,42,0,medium,33,4617,0.7110288165853714,0.6623348494693524,0.669427087062804,0.472628604805742,0.09222101875386594,0.22337779808062222,0.24515111141322182,0.010734185425420234,0.032713388715417825
junyi,irt_1pl,2024,1,dense,1295,3240580,0.5,0.7078090959025853,0.604157895884469,0.45479528884308335,0.004834779593065219,0.20683875475386362,0.2068153796601501,2.3375093713519887e-05,0.0
junyi,irt_1pl,2024,1,medium,31,3346,0.5,0.5854751942618052,0.7095487655713366,0.5064583248875376,0.11749912204771507,0.2565000348478906,0.24269399116590668,0.013806043681983841,0.0
junyi,dkt,2024,1,dense,1295,3240580,0.7326310217762403,0.7359815218263397,0.5409185322639493,0.4237350683345838,0.04006099072821167,0.1795514081365144,0.2068153796601501,0.002259535820099453,0.0292773284133191
junyi,dkt,2024,1,medium,31,3346,0.616955997369286,0.5962343096234309,1.0338385864145534,0.5461669419232251,0.23315880881439321,0.2982983284497676,0.24269399116590668,0.06594373370983701,0.010186559137407873
junyi,simplekt,2024,1,dense,1295,3265405,0.725273510792596,0.7285512823064827,0.5933449658058072,0.4319140960825984,0.07464893512098422,0.18654978639484804,0.20818210753114944,0.007042105085319465,0.028501752134679603
junyi,simplekt,2024,1,medium,31,3617,0.6909351694155467,0.6491567597456456,0.6620643535131747,0.4727532423180508,0.09847574191976968,0.2234956281222297,0.23616108278657394,0.012411096494654312,0.025181985213174128
junyi,irt_1pl,2025,2,dense,1301,3242486,0.5,0.7037418203193475,0.6076612461594805,0.4566066173911585,0.000576534853271915,0.2084896030453958,0.20848927065295872,3.323924370372686e-07,0.0
junyi,irt_1pl,2025,2,medium,25,2008,0.5,0.5876494023904383,0.7077812642375669,0.5056298067789748,0.11551588307563754,0.25566150150334344,0.24231758226059905,0.013343919242744364,0.0
junyi,dkt,2025,2,dense,1301,3242486,0.7317074200025617,0.7327091003631164,0.5443703967145701,0.4255717609334223,0.03944414170183129,0.18111132370397393,0.20848927065295872,0.002262498400272551,0.029392908658699972
junyi,dkt,2025,2,medium,25,2008,0.5528673339883731,0.5507968127490039,1.1046008790995714,0.5748091081572656,0.28174163895787624,0.3304055108205511,0.24231758226059905,0.0924575106681157,0.0038860668272738567
junyi,simplekt,2025,2,dense,1301,3241420,0.7242664156895522,0.7299991978824095,0.5989277730875286,0.4319427675340896,0.07853146819052981,0.1865745544250086,0.20682840075958156,0.007872444083247386,0.027952265881988514
