dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_runs
xes3g5m,dkt,medium,173.4,12966.8,0.8575825260952763,0.8421266709123032,0.5021263189926561,0.35138838469273626,0.0910665289197281,0.12367280038424266,0.16857684034781,0.01341047163226744,0.05718157219045963,1.3416407864998754,142.96398147785314,0.008782146981607869,0.009861055774132472,0.10685271987413243,0.015771948487435655,0.0197783748896186,0.01115584711649143,0.0037835350828226886,0.00495630924013479,0.003923244978647103,5
xes3g5m,dkt,sparse,120.6,2000.4,0.8578106700666505,0.8302479789954404,0.7222001616233865,0.3749916049705704,0.11826184436777014,0.14082422500329714,0.18606369528344519,0.019148152255861937,0.06332012692659654,1.5165750888103082,153.11205047284818,0.0063102989466909355,0.011917920857876513,0.1852532283910717,0.016028147307660476,0.019621016205027875,0.012003599338880226,0.003835394198924488,0.0058040079377243165,0.003858525237597634,5
xes3g5m,dkt,strict_cold_start,3.2,3.8,0.6190476190476191,0.40555555555555556,0.7132935028992476,0.508902513428006,0.42506440795130196,0.26022953582907526,0.12901234567901235,0.20760505526845666,0.07716049382716049,2.280350850198276,3.1144823004794877,0.3375582590180435,0.2732971972499743,0.08190567959404624,0.03949315851722673,0.12602835153188896,0.040277808491257186,0.1209703313373251,0.0806098003038381,0.10278287534164639,5
xes3g5m,dkt,very_sparse,39.0,111.2,0.8329350054553608,0.7818634854977413,1.164309966699388,0.428487367441455,0.1882992379183586,0.18553064436383343,0.20232852872647386,0.05682400629395239,0.0717045821096661,3.082207001484488,18.5930094390338,0.04917526358241898,0.04312717023624605,0.5677834475819649,0.04910728442559414,0.04511857800063711,0.04234072272487174,0.012136217465946234,0.023572526318521237,0.019736698141064973,5
xes3g5m,irt_1pl,dense,497.8,1269495.8,0.5,0.7959097555196708,0.5625565805101599,0.4315232188877932,0.15418858505886918,0.1862128253209199,0.1624312753189367,0.023781550001983242,0.0,0.8366600265340751,1534.6715283734097,0.0,0.0027706653875826967,0.001443377456631607,0.0008192081829571547,0.003047589114183278,0.0007061770104453551,0.0016490735216090201,0.0009504733505941021,0.0,5
xes3g5m,irt_1pl,medium,173.4,12867.0,0.5,0.7830825818729763,0.5700356721549142,0.4357154085214264,0.14136141141217454,0.18984990823078687,0.16984303425512542,0.02000687397566145,0.0,1.3416407864998754,155.77547945681323,0.0,0.005149949636191192,0.0028135900479607403,0.0015775803439944938,0.005457258837935592,0.0013731689189468447,0.0029328398807679885,0.0015621776816224394,0.0,5
xes3g5m,irt_1pl,sparse,120.6,1956.8,0.5,0.7520989428096703,0.5880975983056447,0.44567667215650486,0.11037777234886847,0.19863351902210427,0.18638568223296795,0.012247836789136305,0.0,1.5165750888103082,139.93105445182636,0.0,0.008692007915227321,0.004921926324788255,0.002697896775166266,0.008984998639236795,0.0023973691012859166,0.004456966869278152,0.002059916605969979,0.0,5
xes3g5m,irt_1pl,strict_cold_start,4.0,4.6,0.5,0.5888888888888889,0.6834888487496278,0.4885491436976187,0.2507156309531835,0.2450162282017362,0.1734567901234568,0.0715594380782794,0.0,1.7320508075688772,2.5099800796022267,0.0,0.2929205850325348,0.17069823753728106,0.08899411774142563,0.10428992325499685,0.08301302943387126,0.10087447248086577,0.04966157683018282,0.0,5
xes3g5m,irt_1pl,very_sparse,37.8,109.0,0.5,0.7244929369041817,0.6041985591723488,0.454265528063034,0.08277176644338002,0.2064632900474984,0.1985346507069465,0.007928639340551904,0.0,3.1144823004794886,22.759613353482084,0.0,0.03654227984794798,0.021201124045654718,0.011517381490126218,0.03669935320265283,0.0103128904935374,0.01793583968971377,0.007646865936439393,0.0,5
xes3g5m,simplekt,dense,497.8,1268860.0,0.7548017487406178,0.8059715923051914,0.6213868758475605,0.39363796192830947,0.11457889588665948,0.15496080199598816,0.16169137944237058,0.017944922056165928,0.023772644995740205,0.8366600265340751,1773.5496891827052,0.0012529185274298153,0.003554033886086329,0.013884713204521254,0.0035279110169743407,0.0010469311171298387,0.0027778466383882308,0.0019858745350696595,0.0007863382351333122,0.00042531762448883866,5
xes3g5m,simplekt,medium,173.4,12966.8,0.8337563778043193,0.8365156027725617,0.6196106328729644,0.36788352988798795,0.11186405265597613,0.1353800163728504,0.16857684034781,0.016834262419298137,0.04885286938016141,1.3416407864998754,142.96398147785314,0.0065778715325035255,0.0057689154230716536,0.03792107952010176,0.007221911970204117,0.006712396962514418,0.0052916984579689874,0.0037835350828226886,0.001929388648011803,0.0018925281507896027,5
xes3g5m,simplekt,sparse,120.6,2000.4,0.8472225859182076,0.8185004233291341,0.6873451897203207,0.3837667340850969,0.1241129030155647,0.1473048234177265,0.18606369528344519,0.021344039011243494,0.05903835690054306,1.5165750888103082,153.11205047284818,0.002936597068827148,0.003453474235981693,0.04537544390466521,0.0059073288575463,0.007826746669984265,0.004537621794248861,0.003835394198924488,0.0029010680061768413,0.003825043707257112,5
xes3g5m,simplekt,strict_cold_start,3.2,3.8,0.4523809523809524,0.4222222222222222,1.0025576668608145,0.5968241172950817,0.5514457857443227,0.37916849098531263,0.12901234567901235,0.3512951069154869,0.10012345679012347,2.280350850198276,3.1144823004794877,0.5067570631855419,0.43319085976928734,0.4938778110756056,0.16944565500573908,0.22070521503631477,0.21082538179957208,0.1209703313373251,0.24063637145921532,0.12506544544949605,5
xes3g5m,simplekt,very_sparse,39.0,111.2,0.836129492613513,0.7928650395314647,0.9437040407773271,0.4168575430638697,0.18381155470663563,0.17408650988661437,0.20232852872647386,0.0534642889893692,0.08076942581348046,3.082207001484488,18.5930094390338,0.038510721701480274,0.01682369650108907,0.14691392662304156,0.019883997251823368,0.017678110590383374,0.016709689279277917,0.012136217465946234,0.006860364269930769,0.022237400102169493,5
